test_case,id,source,language,text,task1,task2
EXIST2021,1042,twitter,en,no way you i re a newcastle fan and i get my wish soon that fuck ugly cunt won i i last much longer,sexist,misogyny-non-sexual-violence
EXIST2021,1043,twitter,en,i hate being pregnant i i i so sick,non-sexist,non-sexist
EXIST2021,1044,twitter,en,"what confuses me is when smart men don i i like smart women , like wif ? ? ? also egos will kill a lot of these men also also why are some men smart on paper but dull when it comes to convo with any depth ? ?",non-sexist,non-sexist
EXIST2021,1045,twitter,en,do u know a woman attracts more controversy than men . do u also know that people are more curious when it comes to a woman . women have natural power that stills the world in all ramifications .,sexist,stereotyping-dominance
EXIST2021,1046,twitter,en,jin manspreading,non-sexist,non-sexist
EXIST2021,1047,twitter,en,# thebest fifa women i i goalkeeper of 2020 ? we ' ve got some thoughts on that vote today for ! voting runs through dec . 9,non-sexist,non-sexist
EXIST2021,1048,twitter,en,"imagine a woman being physically overpowered by a man and then telling the woman she sinned because her skirt was too short . it seems you might be trying to do the same thing . do not underestimate the psychological and spiritual power a very influential "" celebrity "" leader has .",sexist,sexual-violence
EXIST2021,1049,twitter,en,"you are doing exactly what feminists do , focus on how women are treated / ignore how men are treated . ( by the way i ' i not defending islam , i ' i an atheist ) i ' i not saying women don ' i have problems and issues . the point is men are not privileged . men have problems and issues too .",sexist,ideological-inequality
EXIST2021,1050,twitter,en,saying this like i will ever made this - big tits best blowjob and iron sex # vaginaltoys # premature,sexist,sexual-violence
EXIST2021,1051,twitter,en,"ho ho ho , assuming bruce and his coaches ( dumb & dumber ) have watched this game and would even consider a plan based on that analysis . . . fat chance of that professionalism",non-sexist,non-sexist
EXIST2021,1052,twitter,en,check out today ' i women ' i basketball uniforms,non-sexist,non-sexist
EXIST2021,1053,twitter,en,then focus on that . don i i spend your time policing women and telling them to put their tits away in the interest of protecting the ideology . don i i associate with shitty marxists bros who are so underdeveloped as feminists that they can i i act responsibly .,sexist,ideological-inequality
EXIST2021,1054,twitter,en,call me whatever you want . you i re ideology is sexist .,sexist,ideological-inequality
EXIST2021,1055,twitter,en,"anybody who wants to "" stick it to the man "" or whatever by rejecting their $ 2000 stimulus payment because a one time payment just isn ' i enough should instead donate it to someone in need , ya know , since they ' re clearly privileged enough to not need it themselves .",non-sexist,non-sexist
EXIST2021,1056,twitter,en,skank doesn ' i sell .,sexist,misogyny-non-sexual-violence
EXIST2021,1057,twitter,en,"trans people , male trans people in particular , have their own movements advancing their rights . but male people are not included in feminism . we do not fight for male people in feminism . feminism isn ' i for everyone . that ' i all - lives - mattering feminism . feminism is for female pal .",non-sexist,non-sexist
EXIST2021,1058,twitter,en,i i i just waiting for the addy bitches be real loud on social media,non-sexist,non-sexist
EXIST2021,1059,twitter,en,nothing hits quite the same as a coworker mansplaining something that he originally learned from you,non-sexist,non-sexist
EXIST2021,1060,twitter,en,here you potato i i all spell it out for you . no teenagers democrat and republicans alike are saving themselves for marriage . and if you do you are either a jesus freak or have no skills talking to women and use it as an excuse . you understand now pea brain ?,non-sexist,non-sexist
EXIST2021,1061,twitter,en,man ! a lot of these lefties / liberals need to look at themselves in a mirror before they tweet ! they walk around like their shit don i i stink ! bunch of fucking disgusting hypocrites !,non-sexist,non-sexist
EXIST2021,1062,twitter,en,cow / / heat waves + dna i i i gonna be honest y i all - i can not wait for people to shut the fuck up about heat waves lao other fancies get compared to it constantly and i wish people would like the song be it i i a good song not just be of dna,non-sexist,non-sexist
EXIST2021,1063,twitter,en,i well you are quite the tempted woman . let me just do this . i and so the male tilted himself a little to carry the female over his shoulder having her ass just next to his face and giving it a spank . i let me carry you to your room you just need to guide me . i,sexist,sexual-violence
EXIST2021,1064,twitter,en,probably hiding in the re with that skank again,sexist,misogyny-non-sexual-violence
EXIST2021,1065,twitter,en,the # rachakonda police arrested a # cyberstalker who uploaded the phone number and details of a married woman on # locantodatingsite and # harassed her .,sexist,sexual-violence
EXIST2021,1066,twitter,en,why didn ' i rec party vet ( screen ) donald trump for financial issues before he ran as presidential nominee in 2015 . 20 years of minimal to zero corporate trump organization / personal tax filings plus 25 + lawsuits filed against him as sexual predator / rape / sexual molestation ? think ?,non-sexist,non-sexist
EXIST2021,1067,twitter,en,with ! ? that ' i some petty puritan shit .,non-sexist,non-sexist
EXIST2021,1068,twitter,en,"i think that they see it as sin , but that the "" forbidden "" aspect of it makes it attractive . they live in perpetual suffering contradiction . they ' re attracted to it , but can never justify it . so they seek to destroy . i ' i pretty sure they include violence too .",non-sexist,non-sexist
EXIST2021,1069,twitter,en,you look like a prostitute whore nancy .,sexist,objectification
EXIST2021,1070,twitter,en,how many women have accused daddy of sexual harassment ? # loserinchief # loseroftheyear,sexist,sexual-violence
EXIST2021,1071,twitter,en,but you know . . . women are so repressed in the states,sexist,ideological-inequality
EXIST2021,1072,twitter,en,mature woman plays a schoolgirl and wants her neighbor to spank her on the bare buttocks,sexist,sexual-violence
EXIST2021,1073,twitter,en,are implying that all men are evil ? you absolute hole . of course you would believe that as all women do so they can feel ok taking advantage of men . clearly you are just coping for your dating history and trying to blame men for yourbdjdwd . heid no ekwjww ! ! ! reel !,sexist,ideological-inequality
EXIST2021,1074,twitter,en,lily verone riding the cock carousel # anal # sodomy # analyse # butter # analslut # slut # bac # snowbunny # gangbang # gonzo # lilyveroni # italy # ianscott,sexist,sexual-violence
EXIST2021,1075,twitter,en,im just happy i found the grown women thread . . . cause most these girls are in their early is and really need to listen to their elders and say less . . . cause who to showering every damn time before sex ? skin probably dry as hell . . .,non-sexist,non-sexist
EXIST2021,1076,twitter,en,"this guy has the correct opinion about everything . and is gracious enough to share with everyone . meet it . pedant of pompous , patron saint of mansplaining .",non-sexist,non-sexist
EXIST2021,1077,twitter,en,you look like a cheap prostitute you probably shouldn ' i call anyone a escort .,sexist,objectification
EXIST2021,1078,twitter,en,"ill have you bleeding out your cunts slow for good many tampons needed for you , just for fun as the up looters thinking they control something , belittling is for the bitches like poodles to zeus , thanks for the info good stuff sucking it up like a termite , upheaval for man kind",sexist,misogyny-non-sexual-violence
EXIST2021,1079,twitter,en,you dumb blonde ! ! ! he is feeding america ! ! ! what have you done to help ? stu,sexist,stereotyping-dominance
EXIST2021,1080,twitter,en,use : its easy to spot a false prophet according to jesus ; they i re all hat and no cattle . who i i the first well know preacher that came to mind ? go . . . popular puritan # alwaysreforming,non-sexist,non-sexist
EXIST2021,1081,twitter,en,"i don i i support the stupid comments on her suicide post , but that doesn i i give you the right to generalize ! ! esp if you know what feminism is all about , it i i clear that those are statements from i self - acclaimed i .",non-sexist,non-sexist
EXIST2021,1082,twitter,en,isn i i it just sexual harassment in general,non-sexist,non-sexist
EXIST2021,1083,twitter,en,fabulous women jacket # womenjackets # womenjacket # women # womensfashion # jacket # womenswear # womeninbusiness # womenempowerment # womenfashion # homestyle # womens # womenpower # womensmarch # womensday # womenshealth # womencrushwednesday # jackets # womensstyle # womensclothing # womenswear,non-sexist,non-sexist
EXIST2021,1084,twitter,en,"i got into pop not liking twice i i music because it was too cheerful for me ( i really like dark concepts like fake love and obsession ) , but they grew on me over time ! especially diving deeper into what true feminism actually is , i support them whole heartedly now ~",non-sexist,non-sexist
EXIST2021,1085,twitter,en,i think that as women we are actually meant to take on a man ' i pain because we have the strength to transmute it . i blame the mothers for the suffering of us all . we need to be much more responsible . this is why we bare child . with great strength comes great responsibility .,sexist,stereotyping-dominance
EXIST2021,1086,twitter,en,"now you are playing victim card like muslims . sikhs are proud people who never play victim , don i i stoop to the level of rop i i . if the house is demolished , there must be good reasons . it could be anyone but if wrong is committed , consequences will follow .",non-sexist,non-sexist
EXIST2021,1087,twitter,en,"a lot of women play a call of duty more than they did back in the day . what you i re suggesting leads to concern absolutely when it i i looked at that way . even i / o women , i i i rock that outfit cause i like colourful stuff . i got creative with cosmetics tho without becoming colourful",non-sexist,non-sexist
EXIST2021,1088,twitter,en,i it i i so evil they brought my mother into this i lol you manipulative until its so evil to talk about your mother maybe you shouldn i i have opened that can of worms by harassing is mother to the point she needed police protection at her homesick off with your fake pity party,sexist,misogyny-non-sexual-violence
EXIST2021,1089,twitter,en,"i wonder woman 1984 action star gal got showed no fear of calories while digging into a slice of cake . "" articles like this reinforce the idea that eating & calories are something to be feared which can damage young women i i mental health . do better . # mediamindful",sexist,objectification
EXIST2021,1090,twitter,en,"i use to have a i if she don i i care , then i don i i care neither i mindset when it came to women in relationships . . .",non-sexist,non-sexist
EXIST2021,1091,twitter,en,"when we fuck slut me to out , do whatever you be thinking id ! !",sexist,sexual-violence
EXIST2021,1092,twitter,en,dawg pound ! the # brownscelly has to win this week ' i # budlightcelly !,non-sexist,non-sexist
EXIST2021,1093,twitter,en,don ' i let these feminists deceive you dear . cook for him and your future in - laws . husband is scarce o .,sexist,ideological-inequality
EXIST2021,1094,twitter,en,"studying mcconnells dueling style . . . first he fucks everybody , then plays the victim saying he wont be bullied . . . then plays another card on finances and wealthier people not needing relief , as if they wont pay it back in taxes . . .",non-sexist,non-sexist
EXIST2021,1095,twitter,en,"two men shouldn i i have a child . two women shouldn i i have a child . a single person shouldn i i be allowed adopt a child . before you all jump on me calling me homophobic , these are not my words . i am stunned . what is this",sexist,stereotyping-dominance
EXIST2021,1096,twitter,en,every men in hip hop thrived off the labour of strippers / video vixens . all hit songs had to pass through strip clubs . it i i so weird to me when they come out to say rubbish like this and then go on to cheat on their wives with the same women they hate and don i i rate,sexist,objectification
EXIST2021,1097,twitter,en,like kitty pride just kissing some random girl and having peter quill vaguely talking about sex and being naked in a pool i a man and a woman just doesn i i do it for me like that i i not enough,non-sexist,non-sexist
EXIST2021,1098,twitter,en,"personally , i i i honestly against this idea in all scenarios . i don i i want to be treated differently be i i i a woman . like yeah obviously it i i nice to get something for free but i don i i like feeling like the only reason i i i getting that is be of how i identify",sexist,stereotyping-dominance
EXIST2021,1099,twitter,en,sip ! dream pulling his victim card,non-sexist,non-sexist
EXIST2021,1100,twitter,en,"it is not , and never will be , misogyny to not go along with the assertion that some men can become women you lot insist on co - opting the core tools and concepts of feminism , weaponise them against us , then have the gall to say * we ' re * not feminists and aren ' i being nice enough ?",sexist,ideological-inequality
EXIST2021,1101,twitter,en,"no , she didn i i just turn up on these men for not falling all over themselves to have one conversation with her . she needs to have more therapy .",non-sexist,non-sexist
EXIST2021,1102,twitter,en,man listen at i need a nigga,non-sexist,non-sexist
EXIST2021,1103,twitter,en,who is the one started playing victim card at boat ? ? someone is trying to make atmosphere funny it logo ko to thud ko victim portray kike sympathy leni thi naa so they ruined that moment,non-sexist,non-sexist
EXIST2021,1104,twitter,en,i ain i i downing on her . but let i i not pretend she i i some scholar or anything . just a grade i gold digger soft core model that trump literally picked out of a catalog .,sexist,stereotyping-dominance
EXIST2021,1105,twitter,en,"on behalf of # palestinian # jesus . . . a true # christian / # american would not attack # children , # womensrights or the # poor . . . so jesus would throw you # republican # terrorists out of heaven",non-sexist,non-sexist
EXIST2021,1106,twitter,en,oceans church women i i ministry christmas brunch today in san juan capistrano . doing their very best to spread couid in our community .,non-sexist,non-sexist
EXIST2021,1107,twitter,en,"it ' i not like i hated dark souls 2 , i bought the game twice and spent 260 hours on it . but i believe it ' i the worst of the dark souls games . if there is a first there has to be last , that ' i how it is . . . frigid outskirts dude . . . even lost izalith isn ' i as bad",non-sexist,non-sexist
EXIST2021,1108,twitter,en,i i y you are so ea eager . . i i gasped she i albeit not surprised when he entered her i repressed moaning left her lips when she hugged him . ㅤㅤㅤ,sexist,sexual-violence
EXIST2021,1109,twitter,en,"i : what did the dumb blonde say when told that "" scheherazade "" was composed by risky - koskov ? a : "" why ' i his mom choose to call him risky of all names ? ! ! ? "" # blondejokes # jokes # funny",sexist,stereotyping-dominance
EXIST2021,1110,twitter,en,and bob is literally just wearing overalls and a hat . you spent a lot more to look like a cunt than he did .,non-sexist,non-sexist
EXIST2021,1111,twitter,en,we need to normalise walking away from abusive family systems and not holding mothers up as the golden standard who cannot be wrong and cannot be criticised . sometimes those women are the most abusive ones .,sexist,ideological-inequality
EXIST2021,1112,twitter,en,hope your kids can get away from their slut mother and idiot father . put them up for adoption and save their lives,sexist,misogyny-non-sexual-violence
EXIST2021,1113,twitter,en,"how many bad drugs are required to post something this moronic ? men are not women , however much they enjoy it . getting a hard on while wearing women ' i clothes doesn ' i make you a woman .",non-sexist,non-sexist
EXIST2021,1114,twitter,en,"sex work is not work , its a way out of desperate times . sucking dick and riding the cock carousel is not entrepreneurship . no one should have to turn to sex work . lockdowns are not helping anyone anymore . ( sexworkers deserve the same rights as everyone else too )",sexist,sexual-violence
EXIST2021,1115,twitter,en,"its very mild here today and its very "" freeing "" to be in a short skirt for a change",non-sexist,non-sexist
EXIST2021,1116,twitter,en,"i want patriarchy and all it i i advocates to know that feminism is rage unleashed against their centuries of crimes against women ! you can not exploit , oppress , rape , kill women and expect us to be calm about it . feminists not just in nigeria but world wide are rightfully angry",sexist,misogyny-non-sexual-violence
EXIST2021,1117,twitter,en,i don i i know why he is trying to play victim card . . . comparing hana to usa . . saying things mahatma never said . . how does you have all the right to jubilate means go on the street . . . are ghanaian children,non-sexist,non-sexist
EXIST2021,1118,twitter,en,"excited to share this item from my # easy shop : methane bookman face mask , stocking stuffer for , gift for woman , christmas gift for her , gift for him , gift for women , gift for men",non-sexist,non-sexist
EXIST2021,1119,twitter,en,"i was sat opposite a woman breast - feeding her son on the busi leaned over and quietly said "" excuse me , don ' i you think that ' i a bit inappropriate in public ? "" the woman replied , "" not at all . it ' i completely natural "" then her son popped his head up and said , "" fuck off you cunt """,sexist,misogyny-non-sexual-violence
EXIST2021,1120,twitter,en,"ah like the discussions here , so calm . why ? because there i i no feminazi here",sexist,ideological-inequality
EXIST2021,1121,twitter,en,skank to this !,non-sexist,non-sexist
EXIST2021,1122,twitter,en,i just love how asking for more gender equality between characters somehow means you ' re sexist and hate women like i literally just want to increase the chances of my fave male characters actually making it into this dumb dacha that is literally it,sexist,ideological-inequality
EXIST2021,1123,twitter,en,go out my way for everybody ! i i i a real ass bitch to .,non-sexist,non-sexist
EXIST2021,1124,twitter,en,"i need y i all to understand calling fat women confident is not a compliment , we aren i i brave because were fat wearing clothes you think we shouldn i i be wearing . you don i i call skinny women confident or brave half as much as y i all do fat women y i all suck .",non-sexist,non-sexist
EXIST2021,1125,twitter,en,"to sexual harassment "" i hope ure being honest "" ? ? ? why would i lie abt sexual harassment",non-sexist,non-sexist
EXIST2021,1126,twitter,en,the women in today i i society be hustling they ass off they make me grind hard i be damned if a woman out work me love,sexist,stereotyping-dominance
EXIST2021,1127,twitter,en,omo all the things this guy did today wasn i i for the faint hearted . his whole career and reputation was on the line and he came out strong . we i ve seen someone literally die because of a false accusation this year . i hate the fact that women have started to weaponize assault,non-sexist,non-sexist
EXIST2021,1128,twitter,en,this is my cockpits harder than a rockhound hours on the clocking the bathroom i place my block,non-sexist,non-sexist
EXIST2021,1129,twitter,en,"some older white man with no climate policy background saw one of my quotes in an article and took it upon himself to call me up today and tell me how i should be framing my analysis , and comment on other women at climate orgs # oldwhitemen # everydaysexism",sexist,stereotyping-dominance
EXIST2021,1130,twitter,en,"wot's associate corporate member , has solutions for your branding , marketing , packaging , and web development needs ! 100 % woman - owned and operated , schedule a free discovery call to learn how you can successfully build and grow your business !",non-sexist,non-sexist
EXIST2021,1131,twitter,en,"i genuinely have no idea what to do with this . criminalization hasn ' i stopped it , since it never stops anything . i don ' i think decriminalization will solve the problem either . i ' i thinking universal basic income would keep a lot of women out of sex work for survival purposes .",sexist,objectification
EXIST2021,1132,twitter,en,"sorry that im some feminazi blue haired bitch or whatever . and if you think homophobia , transphobic , racism , and political corruption are stupid then sure . it i i dudes like you that make me vocal now when i was quite silent back then . and again , don i i mention my friend .",sexist,ideological-inequality
EXIST2021,1133,twitter,en,"so your goal is to see extraordinary women beaten by men who are not when measured against their same sex peers . no women on the podium . no prize money . basically , you think women i i sports are bullshit and are happy to jump on this .",sexist,misogyny-non-sexual-violence
EXIST2021,1134,twitter,en,"lots of angry feminists that seem to have no idea how breast actually worki mean just look down , most of y ' all got em",sexist,ideological-inequality
EXIST2021,1135,twitter,en,this entire string is an extraordinary example of misandry right from the start .,non-sexist,non-sexist
EXIST2021,1136,twitter,en,"honestly none of the men in 11 are straight besides collector like . . . they took the same amount of effort and time they put into sexualizing the women in the past few games and switched it over to sexualizing the men , it i i like they want me to dream about getting gangbanged",sexist,ideological-inequality
EXIST2021,1137,twitter,en,"why are you lying ? how dare you , # healthcare means ' do no damage ' . children are not old enough to consent to certaindrugs or procedures . child protection comes first & last . you are a danger to children & women . utter ; osdincilsj , make up your own slur . # protectourchildren",non-sexist,non-sexist
EXIST2021,1138,twitter,en,eu tenho jaehyun . i : john wayne - lady gaga : all i want for christmas is you * e : exile - taylor swift : how you like that - balckpinky : yes or yes - twice u : umbrella - rihanna : never really over - katy perry * mariah carey moment um emoji que eu te fall um idol .,non-sexist,non-sexist
EXIST2021,1139,twitter,en,would someone please get these women on # bridgerton some stinking parasols and bonnets ? you can i i be traipsing all over hyde park in the middle of day like that without protection from the sun . you i all burn to a crisp .,non-sexist,non-sexist
EXIST2021,1140,twitter,en,waiting for the # notallmen gang to arrive,non-sexist,non-sexist
EXIST2021,1141,twitter,en,"i don i i blame the females cause they ain i i ask for that shit . . . these niggas really be out here on some little boy shit in love with 2 , 3 , 4 women ! doing the same shit with all of em , shit be super whack ! i hate to see shit like that !",sexist,objectification
EXIST2021,1142,twitter,en,really need some videos of you boys tapping and cumming ~ # horny # nudes # nude # be # blowjob # suck # tease # cocktease # del # boobs # tits # tight # wet # cock # pussy # hard # dick # daddy # bargirl # fuck # porn # slut # do # retweet # jailbait # teenslut # morningwood # wanking # masturbate # now,non-sexist,non-sexist
EXIST2021,1143,twitter,en,but you should still learn how to cook regardless if it i i for your husband,sexist,stereotyping-dominance
EXIST2021,1144,twitter,en,are you a spookiest kin ? ? 10 % - paranoid over relationships 10 % - overwhelmed by everything 10 % - losing motivation to do shit 10 % - unfunny 10 % - emotionally repressed 10 % - unfunny 10 % - just a bad person to be friends with 10 % - desperate for social interaction 20 % -,non-sexist,non-sexist
EXIST2021,1145,twitter,en,if there is one thing i despise is moralising hypocrisy . it is rangers fans fault . . . that line . while ignoring the ugly sectarianism chanted by the celtic fans . you are an utter balloon head son,non-sexist,non-sexist
EXIST2021,1146,twitter,en,"canada is committed to leading efforts to improve nutrition for the world i i poorest and most marginalized i especially women and girls . today , joined by colleagues in japan + bangladesh , and the , we launched a roadmap for a # nutrition for growth year of action .",non-sexist,non-sexist
EXIST2021,1147,twitter,en,look at the arms on these sum bitches !,sexist,objectification
EXIST2021,1148,twitter,en,don i i forget . . . # wesaynotomazepin # mazepinout # humanrights # womensrights # womensupportingwomen # sexualassault # haas # fu # weraceasone,non-sexist,non-sexist
EXIST2021,1149,twitter,en,this is so fucked up . who i i slit you into reducing physical & emotional abuse into i drama i & to victim blame ? when a person chokes someone it increases the likelihood of murder by 750 % . seems like everyone should know that this is a thing happening ? should she suffer alone ? woof,non-sexist,non-sexist
EXIST2021,1150,twitter,en,"first thing read today and # bloodboiling ! all non - female sweeps . . . imagine not being able to go for a run or a walk without being # harassed # intimidated in some form . seriously ! it ' i so i # * in unfair . if you know any 1 who thinks this is fun , # shame them .",sexist,sexual-violence
EXIST2021,1151,twitter,en,we # bac gangbanged our first indian # desigirl # desihotwife # desi # desifuck # desire # indian # indianwife # indianbhabhi # chai # desibhabhi # desiwife # hotwire # indianslut # bollywood # indianpussy # desiwifeshare # desist # desichudai # desipussy # indianhotwife,sexist,sexual-violence
EXIST2021,1152,twitter,en,"it was inappropriate when you mocked blond woman from fraud hearing . you i spoke i like her , said she was annoying , implied she i i dumb . u were a good journalist but you showed u are a racist , privileged woman who makes fun of others .",sexist,stereotyping-dominance
EXIST2021,1153,twitter,en,i ' i happy you ' re achieving all you ' ve ever craved for and i know this is just a stepping stone to greater heights love you baby girl i i,non-sexist,non-sexist
EXIST2021,1154,twitter,en,"dont be silly , i spank women not punch them .",sexist,misogyny-non-sexual-violence
EXIST2021,1155,twitter,en,adult who is not pregnant and without major immunocompromised ? accept it . we now have multiple high quality large scale trials showing the vaccine is safe and effective for you .,non-sexist,non-sexist
EXIST2021,1156,twitter,en,> pronouns in bios are you saying you want me to call you that word ? seems kinda . . . disrespectful and sexist ?,non-sexist,non-sexist
EXIST2021,1157,twitter,en,"driving on road trips is great i understand . man or woman though , if i ' i not comfortable enough to go to sleep i ' i rather drive .",non-sexist,non-sexist
EXIST2021,1158,twitter,en,"for instance , as a trans woman i recognize that while * i * despise rapists and pedophiles terms * love * to libelous label us as such , so if their profane cause makes much more headway it ' i mean thousands of innocent trans folk being tortured under a guise of scientific inquiry .",non-sexist,non-sexist
EXIST2021,1159,twitter,en,"nope and thats where you are wrong . if you say ' men ' or ' women ' , you are referring to all men or all women . so in the future i ' i suggest individualisation i . e men who rape , men who kill not just ' men ' . by just saying ' men ' you are indeed using the term loosely .",sexist,ideological-inequality
EXIST2021,1160,twitter,en,lol she i i such a slutbag,sexist,objectification
EXIST2021,1161,twitter,en,"white women will speak out , demand justice and fight about everything except for black lives . but sit up and have the nerve to have black "" friends "" and black "" family members "" . that ' i why i had to let them bitches go for",non-sexist,non-sexist
EXIST2021,1162,twitter,en,that i i why you can i i take these women seriously especially the ones who be on twitter be talking the most shit but have nothing to show for,sexist,stereotyping-dominance
EXIST2021,1163,twitter,en,"you deserve an oscar for this one , suh .",non-sexist,non-sexist
EXIST2021,1164,twitter,en,liberal - feminism normalizes sex work so much . . . respect sex workers but do not glorify something that is inherently patriarchal and is rooted on systemic sexual exploitation,sexist,ideological-inequality
EXIST2021,1165,twitter,en,"my mother always told me opinions i like a $ $ holes ! everyone has one ! i can respect various opinions until they start to boarder on rediculous ! we get ur dislike for all things but do not pin all ur "" perversity "" blame on him . he is but 1 man in a !",non-sexist,non-sexist
EXIST2021,1166,twitter,en,"what you describe as # sexism still exists , most in technical roles ! what the original op stated is she ' i openly # harassed / # discriminated weekly i her mnot ' i full knowledge , yet , they do nothing to stop a hostile workplace ? ? at in 2020 of all places is unfathomable",sexist,ideological-inequality
EXIST2021,1167,twitter,en,can hypnosis be used to make me remember contents of a book i read when i was 8 . or it only works for repressed memories,non-sexist,non-sexist
EXIST2021,1168,twitter,en,[ that was the stereotypical woman code for do not do whatever you want instead read my mind and do what i want samurai fucked up he fucked up ],sexist,stereotyping-dominance
EXIST2021,1169,twitter,en,"you actually typed out that feminism i the school of philosophy , jurisprudence and political theory that advocates for women and girls who are discriminated against on the basis of their sex i should include i gender i i what a twit",sexist,ideological-inequality
EXIST2021,1170,twitter,en,"actually of all the things it is , i don i i think political is one of them . she i i self destructive and mentally unwell and following a pattern of some women since the beginning of time . i do think we can blame the patriarchy if we like .",sexist,ideological-inequality
EXIST2021,1171,twitter,en,look like a cunt even if the world is telling you not to,non-sexist,non-sexist
EXIST2021,1172,twitter,en,and yes i don i i think snoop thinks this way about women but that i i what many rappers rap about in their songs but yet wanna criticize women for singing about sex / dick / fucking / their pussy / whatever terms they use,sexist,sexual-violence
EXIST2021,1173,twitter,en,i mean i can understand the emotions . . women are emotional beings . but facts,sexist,stereotyping-dominance
EXIST2021,1174,twitter,en,"exactly . because of these feminazi ' i western wish list , the women who are really in need of help are getting ignored by everyone .",sexist,ideological-inequality
EXIST2021,1175,twitter,en,i agree for the most part . i just don i i like the obvious jealous women who hide under a i i support all woman and this makes bulk women look bad i contact fighting isn i i the only way to do character damage and i want them to understand that !,sexist,ideological-inequality
EXIST2021,1176,twitter,en,for every one saying i huh there lucky i this is rape and if the genders where flipped there would be outrage,sexist,ideological-inequality
EXIST2021,1177,twitter,en,wow got away with it . so luck .,non-sexist,non-sexist
EXIST2021,1178,twitter,en,"i yard lured and enticed young , impressionable , and often impoverished children and women with cash payments and false promises of lucrative modelling opportunities in order to assault , rape , and sodomize them .",sexist,sexual-violence
EXIST2021,1179,twitter,en,( i won ' i color her cause my laptop ' i screen sucks lol ),non-sexist,non-sexist
EXIST2021,1180,twitter,en,ok let i i talk about this . first of all : calling someone a beard isn i i an insult . they are willingly closing someone . it i i been a thing for decades you look like an idiot calling it an insult . next : i personally have never called anyone a bitch or a whore in relation to larry,non-sexist,non-sexist
EXIST2021,1181,twitter,en,"that victim card gon expire eventually , keep the in mind",non-sexist,non-sexist
EXIST2021,1182,twitter,en,i had a girlfriend when i was fat and broke,non-sexist,non-sexist
EXIST2021,1183,twitter,en,single parenthood is the desired goal of militant feminism . the end goal was to completely destroy the concept and values inherent in white families - so many white women are single mothers due to their behaving as feminists and attacking their husbands for being too patriarchal .,sexist,ideological-inequality
EXIST2021,1184,twitter,en,photos : frigid air led to record - breaking snowfall in us northeast,non-sexist,non-sexist
EXIST2021,1185,twitter,en,ooooh you ' re so obsessed wanting to attacked non pa person with your soyou feminazi movement mix with melting pot . # pakistan # 4chanpol # amerimart,sexist,ideological-inequality
EXIST2021,1186,twitter,en,"this time two years ago i was ripped to the tits on i actually i i ve no idea what drug they gave me to calm my pre - open heart surgery nerves , but it bloody well worked , i can tell you .",non-sexist,non-sexist
EXIST2021,1187,twitter,en,i i ve pretty much repressed the entire era and my memory has just started to drip feed me all those horrible memories back,non-sexist,non-sexist
EXIST2021,1188,twitter,en,least when grable says theyll focus on men more i occasionally get some unrealistically big cow tits in the mix,sexist,objectification
EXIST2021,1189,twitter,en,bitches think its attractive to be alot to handle grow the fuck up,sexist,stereotyping-dominance
EXIST2021,1190,twitter,en,i lost 15 labs in like a week and a half and still am so fat wif,non-sexist,non-sexist
EXIST2021,1191,twitter,en,why can ' i women understand hore a guy liking sex is natural,sexist,stereotyping-dominance
EXIST2021,1192,twitter,en,fuck your tits and ass are fat,sexist,objectification
EXIST2021,1193,twitter,en,"that would be cool ! i i i too ugly to test it fully now , but tomorrow i i all give it a go",non-sexist,non-sexist
EXIST2021,1194,twitter,en,we are about to be in 2021 and i somebody that i used to know i by got is still such a unique slapper of a tune,non-sexist,non-sexist
EXIST2021,1195,twitter,en,the child was somehow accountable for she provoked her father to kill them . but pass don i i say awful things to the child like saying i sana ma rape ka i like wif . that i i not the point of this whole mess . . .,non-sexist,non-sexist
EXIST2021,1196,twitter,en,i pay my lash lady every two weeks before appointments like its a crucial bill or something,non-sexist,non-sexist
EXIST2021,1197,twitter,en,norihiro misfire upsets former 130 - pound titleholder sasayaki ito via majority decision - the ring,non-sexist,non-sexist
EXIST2021,1198,twitter,en,"as about 99 % if men dont rape , yes , "" not all men "" . unless you want me to blame you for the infanticide other women commit ? thats cool , yes , murderer ?",sexist,misogyny-non-sexual-violence
EXIST2021,1199,twitter,en,"our the more likely , empowered woman gets husband killed . this is a common scenario today",sexist,misogyny-non-sexual-violence
EXIST2021,1200,twitter,en,"nice my dude ! keep going after that feminazi and fake archaeologist , who dare to have the audacity to be a teenager when we wrote our first article about archaeology in 1996 !",sexist,ideological-inequality
EXIST2021,1201,twitter,en,"- than men , which seems odd to me considering men are the ones who have caused so much destruction around the world whilst women are often the ones suffering . don ' i get me wrong , i ' i proud of my faith but there are a lot of things i question that i ' i yet to get sound answers to !",non-sexist,non-sexist
EXIST2021,1202,twitter,en,"girl , i had to enlarge the avi cause it look like you had a high ponytail when it was a small leak i i i like ok my good sis becoming a bad bitch on us",non-sexist,non-sexist
EXIST2021,1203,twitter,en,? ? ? how you to did you end up slut - shaming celibacy ? ? ?,sexist,misogyny-non-sexual-violence
EXIST2021,1204,twitter,en,i i i watching a show and the woman driving a car in it hasn i i looked forward for a full city block and i don i i think she i i about to hit anything and i don i i think it i i part of the story and i think i need to turn this off .,non-sexist,non-sexist
EXIST2021,1205,twitter,en,"yes keep this same energy . fellas , take notes . this is why you screen with multiple coffee dates and make them earn that date . a man i i time is just as important . good luck .",sexist,stereotyping-dominance
